model,anchor_idx,direction,mag_cm,anchor_min_v2v_m,denoised_min_v2v_m,a_correction_m,b_motion_from_anchor_m,b_motion_from_perturbed_m,pullback_m,recovery_0.5cm,recovery_1cm,recovery_2cm,recovery_5cm
uncond,12,+x,1,0.048644062131643295,0.017650878056883812,0.06267188489437103,0.043247055262327194,0.044301848858594894,0.012786030769348145,False,False,True,True
uncond,13,+x,1,0.03150927647948265,0.07389277964830399,0.07228481024503708,0.09020713716745377,0.08524642139673233,-0.03629706799983978,False,False,False,False
uncond,14,+x,1,0.0799499973654747,0.012362293899059296,0.11299459636211395,0.06401743739843369,0.06743776053190231,0.02366340160369873,False,False,True,True
uncond,15,+x,1,0.09363791346549988,0.02932712249457836,0.051842864602804184,0.05940357968211174,0.055586524307727814,-0.018345117568969727,False,False,False,True
uncond,16,+x,1,0.07055621594190598,0.15266697108745575,0.038970913738012314,0.11342860758304596,0.10950479656457901,-0.038740336894989014,False,False,False,False
uncond,17,+x,1,0.04135427996516228,0.03970232605934143,0.07948651909828186,0.0701659694314003,0.07049327343702316,0.0058498382568359375,False,False,False,True
uncond,18,+x,1,0.05934927612543106,0.15378950536251068,0.1094241514801979,0.13110852241516113,0.132913738489151,0.030688703060150146,False,False,False,False
uncond,19,+x,1,0.06964942812919617,0.03183016926050186,0.06271800398826599,0.08747696131467819,0.0937698557972908,0.06043058633804321,False,False,False,True
uncond,20,+x,1,0.09216106683015823,0.1322859227657318,0.0550505705177784,0.10709859430789948,0.10094254463911057,-0.060230374336242676,False,False,False,False
uncond,21,+x,1,0.005556546151638031,0.006098630838096142,0.03402775526046753,0.053135454654693604,0.054180603474378586,-0.004104316234588623,False,True,True,True
uncond,22,+x,1,0.006345308385789394,0.048020511865615845,0.03181890398263931,0.0912216529250145,0.09371103346347809,0.028811007738113403,False,False,False,True
uncond,23,+x,1,0.020028460770845413,0.08355425298213959,0.07432729005813599,0.05267847329378128,0.05658244341611862,0.026744604110717773,False,False,False,False
uncond,24,+x,1,0.010358009487390518,0.025064576417207718,0.03834017738699913,0.07030676305294037,0.07656102627515793,0.0494476854801178,False,False,False,True
uncond,25,+x,1,0.016506144776940346,0.025919180363416672,0.04278028383851051,0.1331218183040619,0.12795673310756683,-0.051153212785720825,False,False,False,True
uncond,26,+x,1,0.015837183222174644,0.018923655152320862,0.043321993201971054,0.08733898401260376,0.08387739956378937,-0.03362146392464638,False,False,True,True
uncond,27,+x,1,0.014585231430828571,0.0339890755712986,0.05623637139797211,0.06827814131975174,0.06646669656038284,-0.013036176562309265,False,False,False,True
uncond,28,+x,1,0.011518677696585655,0.044182706624269485,0.10883256793022156,0.1394880712032318,0.1484074741601944,0.1354696899652481,False,False,False,True
uncond,29,+x,1,0.023618634790182114,0.04204538092017174,0.039465367794036865,0.07818667590618134,0.07196812331676483,-0.04606598615646362,False,False,False,True
uncond,30,+x,1,0.009685954079031944,0.00513856578618288,0.0531754232943058,0.0585779994726181,0.055624835193157196,-0.01164090633392334,False,True,True,True
uncond,31,+x,1,0.002429168438538909,0.1093098595738411,0.05175288766622543,0.05596655234694481,0.057784005999565125,0.012297660112380981,False,False,False,False
uncond,32,+x,1,0.02198350429534912,0.04062649607658386,0.08802249282598495,0.1910170167684555,0.19981667399406433,0.17675629258155823,False,False,False,True
uncond,33,+x,1,0.0291561558842659,0.015674512833356857,0.05812789499759674,0.05915016308426857,0.06057846173644066,0.014768600463867188,False,False,True,True
uncond,34,+x,1,0.009911026805639267,0.009206400252878666,0.04676394164562225,0.07574858516454697,0.07333876192569733,-0.014655768871307373,False,True,True,True
uncond,35,+x,1,0.016092922538518906,0.011601818725466728,0.0526677742600441,0.05820070579648018,0.06166303530335426,0.02318882942199707,False,False,True,True
uncond,36,+x,1,0.013491945341229439,0.012924473732709885,0.03586190193891525,0.062232133001089096,0.0644378662109375,0.01807495951652527,False,False,True,True
uncond,37,+x,1,0.0171976238489151,0.01285627018660307,0.04925407096743584,0.047210246324539185,0.041896045207977295,-0.020049631595611572,False,False,True,True
uncond,38,+x,1,0.012182592414319515,0.03276854753494263,0.04408431425690651,0.10612116754055023,0.10338752716779709,-0.02257627248764038,False,False,False,True
uncond,39,+x,1,0.02321326732635498,0.0076797655783593655,0.08501344174146652,0.06269446015357971,0.07020832598209381,0.05162307620048523,False,True,True,True
uncond,40,+x,1,0.009000150486826897,0.006431611254811287,0.03029441088438034,0.04599079117178917,0.04605581611394882,-0.013894915580749512,False,True,True,True
uncond,41,+x,1,0.013555851764976978,0.027534905821084976,0.05090709775686264,0.05761526897549629,0.061252009123563766,0.0363922119140625,False,False,False,True
uncond,42,+x,1,0.01487455703318119,0.009315812960267067,0.06587371975183487,0.07667859643697739,0.0770982876420021,0.012534350156784058,False,True,True,True
uncond,43,+x,1,0.010229171253740788,0.009802177548408508,0.048995014280080795,0.08872231096029282,0.08592309057712555,-0.018551409244537354,False,True,True,True
uncond,44,+x,1,0.005803156178444624,0.004468507133424282,0.028059734031558037,0.0375119186937809,0.03470562398433685,-0.010442882776260376,True,True,True,True
uncond,45,+x,1,0.00961802527308464,0.009873367846012115,0.039780136197805405,0.06060775741934776,0.06492150574922562,0.0305120050907135,False,True,True,True
