source,n_steps,min_v2v_m,contact_dens_5mm,contact_dens_10mm,contact_dens_20mm
chi3d,-1,0.004228639882057905,1.8209894960818929e-06,2.2762369553674944e-05,0.0001556946081109345
chi3d,-1,0.004501730669289827,9.104947480409464e-07,1.8209894960818929e-06,1.0015442057920154e-05
chi3d,-1,0.01961347460746765,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.0032936371862888336,9.104947480409464e-07,2.731484300966258e-06,3.0046327083255164e-05
chi3d,-1,0.002013235120102763,2.731484300966258e-06,4.552473910734989e-06,3.641979128587991e-05
chi3d,-1,0.0023920799139887094,1.3657420822710264e-05,0.00014203718455974013,0.00087225396418944
chi3d,-1,0.004312383010983467,9.104947480409464e-07,7.2839579843275715e-06,3.733028643182479e-05
chi3d,-1,0.003966815769672394,9.104947480409464e-07,4.552473910734989e-06,2.731484164542053e-05
chi3d,-1,0.0009765625,1.3657420822710264e-05,7.73920546635054e-05,0.0005818061181344092
chi3d,-1,0.008038124069571495,0.0,2.731484300966258e-06,1.8209895642939955e-05
chi3d,-1,0.006137600168585777,0.0,6.373463293130044e-06,3.2777810702100396e-05
chi3d,-1,0.004256737418472767,2.731484300966258e-06,3.6419789921637857e-06,2.8225336791365407e-05
chi3d,-1,0.0011960399569943547,6.373463293130044e-06,2.9135831937310286e-05,0.00019393538241274655
chi3d,-1,0.0046064360067248344,9.104947480409464e-07,1.4567915968655143e-05,0.0002166977501474321
chi3d,-1,0.0075722960755229,0.0,3.6419789921637857e-06,2.0941379261785187e-05
chi3d,-1,0.015708699822425842,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.038532476872205734,0.0,0.0,0.0
chi3d,-1,0.0688190832734108,0.0,0.0,0.0
chi3d,-1,0.031301457434892654,0.0,0.0,0.0
chi3d,-1,0.010089833289384842,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.017376914620399475,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.04009261727333069,0.0,0.0,0.0
chi3d,-1,0.02198350429534912,0.0,0.0,0.0
chi3d,-1,0.1290467381477356,0.0,0.0,0.0
chi3d,-1,0.032520685344934464,0.0,0.0,0.0
chi3d,-1,0.07489548623561859,0.0,0.0,0.0
chi3d,-1,0.049989841878414154,0.0,0.0,0.0
chi3d,-1,0.08462633937597275,0.0,0.0,0.0
chi3d,-1,0.04163939878344536,0.0,0.0,0.0
chi3d,-1,0.03274033963680267,0.0,0.0,0.0
chi3d,-1,0.07868224382400513,0.0,0.0,0.0
chi3d,-1,0.030713239684700966,0.0,0.0,0.0
chi3d,-1,0.01931181736290455,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.04532541707158089,0.0,0.0,0.0
chi3d,-1,0.002583741443231702,9.104947480409464e-07,4.552473910734989e-06,2.367286288063042e-05
chi3d,-1,0.004312383010983467,9.104947480409464e-07,2.731484300966258e-06,2.731484164542053e-05
chi3d,-1,0.013124687597155571,0.0,0.0,6.373463293130044e-06
chi3d,-1,0.008631674572825432,0.0,1.8209894960818929e-06,1.183643144031521e-05
chi3d,-1,0.00569428876042366,0.0,2.731484300966258e-06,2.0941379261785187e-05
chi3d,-1,0.005652264226227999,0.0,9.104947480409464e-07,4.552473910734989e-06
chi3d,-1,0.016245903447270393,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.005980199668556452,0.0,1.0015442057920154e-05,3.186731555615552e-05
chi3d,-1,0.009673639200627804,0.0,9.104947480409464e-07,9.104947821469977e-06
chi3d,-1,0.027186349034309387,0.0,0.0,0.0
chi3d,-1,0.005746387876570225,0.0,2.731484300966258e-06,1.547841020510532e-05
chi3d,-1,0.017110757529735565,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.006156992167234421,0.0,1.8209894960818929e-06,2.731484164542053e-05
chi3d,-1,0.01050656009465456,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.006587274372577667,0.0,1.8209894960818929e-06,2.003088411584031e-05
chi3d,-1,0.012400805950164795,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.08258090168237686,0.0,0.0,0.0
chi3d,-1,0.0200789887458086,0.0,0.0,0.0
chi3d,-1,0.003009967738762498,9.104947480409464e-07,8.194452675525099e-06,2.2762369553674944e-05
chi3d,-1,0.006623369175940752,0.0,6.373463293130044e-06,1.912038896989543e-05
chi3d,-1,0.003311684587970376,9.104947480409464e-07,4.552473910734989e-06,3.3688305848045275e-05
chi3d,-1,0.012059656903147697,0.0,0.0,9.104947821469977e-06
chi3d,-1,0.0057670958340168,0.0,9.104947480409464e-07,1.912038896989543e-05
chi3d,-1,0.0076506054028868675,0.0,1.8209894960818929e-06,1.2746926586260088e-05
chi3d,-1,0.002909271279349923,1.8209894960818929e-06,1.0015442057920154e-05,6.009265416651033e-05
