source,n_steps,min_v2v_m,contact_dens_5mm,contact_dens_10mm,contact_dens_20mm
chi3d,-1,0.007918591611087322,0.0,7.2839579843275715e-06,8.012353646336123e-05
chi3d,-1,0.03655267134308815,0.0,0.0,0.0
chi3d,-1,0.011860310100018978,0.0,0.0,1.8209895642939955e-05
chi3d,-1,0.007429259829223156,0.0,7.2839579843275715e-06,1.8209895642939955e-05
chi3d,-1,0.008358028717339039,0.0,3.6419789921637857e-06,1.8209895642939955e-05
chi3d,-1,0.012347821146249771,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.015540850348770618,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.008679877035319805,0.0,3.6419789921637857e-06,1.0925937203865033e-05
chi3d,-1,0.011503143236041069,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.006827212404459715,0.0,3.6419789921637857e-06,1.4567915968655143e-05
chi3d,-1,0.04175732657313347,0.0,0.0,0.0
